Ekonomiskt bistånd, Antal biståndsmottagare 18 år och äldre, Ålder: 18-65+
Svedala;Båda könen;319;296;289;285
Skurup;Män;150;121;108;100
Skurup;Kvinnor;131;95;96;90
Skurup;Båda könen;281;216;204;190
Sjöbo;Män;164;126;132;136
Sjöbo;Kvinnor;146;134;137;142
Sjöbo;Båda könen;310;260;269;278
Hörby;Män;161;142;122;103
Hörby;Kvinnor;133;121;112;111
Hörby;Båda könen;294;263;234;214
Höör;Män;148;116;103;104
Höör;Kvinnor;112;100;92;116
Höör;Båda könen;260;216;195;220
Tomelilla;Män;114;82;71;77
Tomelilla;Kvinnor;110;96;90;113
Tomelilla;Båda könen;224;178;161;190
Bromölla;Män;121;94;91;101
Bromölla;Kvinnor;92;85;75;90
Bromölla;Båda könen;213;179;166;191
Osby;Män;200;168;136;126
Osby;Kvinnor;197;184;167;175
Osby;Båda könen;397;352;303;301
Perstorp;Män;137;­­;140;141
Perstorp;Kvinnor;145;­­;135;123
Perstorp;Båda könen;282;­­;275;264
Klippan;Män;193;160;148;144
Klippan;Kvinnor;171;157;138;137
Klippan;Båda könen;364;317;286;281
Åstorp;Män;241;191;162;151
Åstorp;Kvinnor;244;240;198;170
Åstorp;Båda könen;485;431;360;321
Båstad;Män;123;113;81;59
Båstad;Kvinnor;95;89;72;59
Båstad;Båda könen;218;202;153;118
Malmö;Män;8692;7161;6335;6042
Malmö;Kvinnor;8587;7258;6472;6228
Malmö;Båda könen;17279;14419;12807;12270
Lund;Män;1391;1256;1176;1097
Lund;Kvinnor;1265;1180;1112;1055
Lund;Båda könen;2656;2436;2289;2152
Landskrona;Män;603;536;451;433
Landskrona;Kvinnor;613;554;477;486
Landskrona;Båda könen;1216;1090;928;919
Helsingborg;Män;2679;2277;2061;1978
Helsingborg;Kvinnor;2490;2252;2107;2017
Helsingborg;Båda könen;5169;4529;4168;3995
Höganäs;Män;187;164;159;150
Höganäs;Kvinnor;142;136;135;142
Höganäs;Båda könen;329;300;294;292
Eslöv;Män;471;428;416;409
Eslöv;Kvinnor;432;418;386;411
Eslöv;Båda könen;903;846;802;820
Ystad;Män;222;208;186;163
Ystad;Kvinnor;187;185;158;165
Ystad;Båda könen;409;393;344;328
Trelleborg;Män;415;405;383;416
Trelleborg;Kvinnor;434;396;373;404
Trelleborg;Båda könen;849;801;756;820
Kristianstad;Män;1228;1060;886;809
Kristianstad;Kvinnor;1044;1068;919;889
Kristianstad;Båda könen;2272;2128;1805;1698
Simrishamn;Män;173;142;124;138
Simrishamn;Kvinnor;159;133;133;139
Simrishamn;Båda könen;332;275;257;277
Ängelholm;Män;330;295;305;268
Ängelholm;Kvinnor;340;294;267;252
Ängelholm;Båda könen;670;589;572;520
Hässleholm;Män;654;624;565;556
Hässleholm;Kvinnor;639;642;530;521
Hässleholm;Båda könen;1293;1266;1095;1077
Hallands län;Män;2715;2368;2084;1979
Hallands län;Kvinnor;2301;2151;1941;1947
Hallands län;Båda könen;5016;4519;4025;3926
Hylte;Män;238;189;133;124
Hylte;Kvinnor;209;189;140;123
Hylte;Båda könen;447;378;273;247
Halmstad;Män;856;760;691;676
Halmstad;Kvinnor;736;701;635;657
Halmstad;Båda könen;1592;1461;1326;1333
Laholm;Män;241;200;182;164
Laholm;Kvinnor;224;210;193;172
Laholm;Båda könen;465;410;375;336
Falkenberg;Män;432;375;341;329
Falkenberg;Kvinnor;355;346;311;323
Falkenberg;Båda könen;787;721;652;652
Varberg;Män;471;433;416;402
Varberg;Kvinnor;393;352;337;380
Varberg;Båda könen;864;785;753;782
Kungsbacka;Män;493;436;337;301
Kungsbacka;Kvinnor;414;372;347;305
Kungsbacka;Båda könen;907;808;684;606
Västra Götalands län;Män;19684;16758;14728;14594
Västra Götalands län;Kvinnor;17958;16025;13916;14004
Västra Götalands län;Båda könen;37642;32783;28644;28598
Härryda;Män;249;235;223;194
Härryda;Kvinnor;246;214;173;187
Härryda;Båda könen;495;449;396;381
Partille;Män;362;295;275;277
Partille;Kvinnor;289;227;222;235
Partille;Båda könen;651;522;497;512
Öckerö;Män;105;91;80;74
Öckerö;Kvinnor;68;69;67;65
Öckerö;Båda könen;173;160;147;139
Stenungsund;Män;229;207;196;198
Stenungsund;Kvinnor;217;194;179;176
Stenungsund;Båda könen;446;401;375;374
Tjörn;Män;122;121;110;102
Tjörn;Kvinnor;96;103;85;99
Tjörn;Båda könen;218;224;195;201
Orust;Män;139;124;109;118
Orust;Kvinnor;102;97;86;105
Orust;Båda könen;241;221;195;223
Sotenäs;Män;102;73;61;61
Sotenäs;Kvinnor;78;65;51;67
Sotenäs;Båda könen;180;138;112;128
Munkedal;Män;155;128;141;141
Munkedal;Kvinnor;128;115;118;112
Munkedal;Båda könen;283;243;259;253
Tanum;Män;126;102;88;74
Tanum;Kvinnor;91;89;79;69
Tanum;Båda könen;217;191;167;143
